Date,Time,Temperature,Humidity,Moisture,Luminance
2023-05-01,2:21:54,20.18,52.32,0.3,0.0028
2023-05-01,3:02:15,20.11,52.16,0.301,0.0028
2023-05-01,3:02:16,20.11,52.16,0.301,0.0028
2023-05-01,3:42:19,20.01,52.27,0.302,0.0022
2023-05-01,3:42:19,20.01,52.27,0.302,0.0022
2023-05-01,4:21:25,19.88,52.44,0.303,0
2023-05-01,4:21:26,19.88,52.44,0.303,0
2023-05-01,4:45:45,19.84,52.29,0.304,0.0022
2023-05-01,4:45:45,19.84,52.29,0.304,0.0022
2023-05-01,4:55:45,19.81,52.35,0.304,0
2023-05-01,4:55:46,19.81,52.35,0.304,0
2023-05-01,5:05:45,19.78,52.5,0.304,0.0046
2023-05-01,5:05:45,19.78,52.5,0.304,0.0046
2023-05-01,6:38:02,19.73,52.52,0.305,13.7993
2023-05-01,6:38:03,19.73,52.52,0.305,13.782
2023-05-01,6:48:02,19.92,53.3,0.305,4.1996
2023-05-01,6:48:02,19.89,53.3,0.304,4.1996
2023-05-01,6:58:02,19.97,52.41,0.306,6.6744
2023-05-01,6:58:03,19.97,52.41,0.306,6.6744
2023-05-01,7:08:02,20.01,52.6,0.305,8.5059
2023-05-01,7:08:03,20.01,52.6,0.305,8.5059
2023-05-01,7:18:02,20.06,52.44,0.305,10.3809
2023-05-01,7:18:03,20.06,52.44,0.305,10.3809
2023-05-01,7:28:23,20.14,52.23,0.305,8.2167
2023-05-01,7:28:24,20.14,52.23,0.305,8.2167
2023-05-01,7:38:23,20.16,51.81,0.305,10.4539
2023-05-01,7:38:24,20.16,51.81,0.305,10.4539
2023-05-01,7:48:23,20.2,51.73,0.305,13.6028
2023-05-01,7:48:24,20.2,51.73,0.305,13.6028
2023-05-01,7:58:23,20.25,51.48,0.306,17.0987
2023-05-01,7:58:24,20.25,51.48,0.306,17.0987
2023-05-01,8:08:23,20.26,51.45,0.306,17.3671
2023-05-01,8:08:24,20.26,51.45,0.306,17.3671
2023-05-01,8:18:23,20.31,51.23,0.305,12.9159
2023-05-01,8:18:24,20.31,51.23,0.305,12.9159
2023-05-01,8:28:23,20.39,51.18,0.306,16.814
2023-05-01,8:28:24,20.39,51.18,0.306,16.814
2023-05-01,8:38:23,20.38,51.92,0.306,22.8912
2023-05-01,8:38:24,20.38,51.92,0.306,22.8912
2023-05-01,8:48:02,20.48,52.51,0.306,37.9986
2023-05-01,8:48:02,20.48,52.51,0.306,38.0104
2023-05-01,8:58:02,20.59,52.23,0.305,45.571
2023-05-01,8:58:03,20.59,52.23,0.305,45.571
2023-05-01,9:08:02,20.63,52.24,0.305,47.2631
2023-05-01,9:08:02,20.63,52.26,0.305,47.2631
2023-05-01,9:18:23,20.69,51.79,0.306,40.9456
2023-05-01,9:18:24,20.69,51.79,0.306,40.9456
2023-05-01,9:28:23,20.76,52.02,0.306,37.789
2023-05-01,9:28:24,20.76,52.02,0.306,37.789
2023-05-01,9:38:23,20.86,52.05,0.306,34.5664
2023-05-01,9:38:24,20.86,52.05,0.306,34.5664
2023-05-01,9:48:23,20.89,51.7,0.307,33.9113
2023-05-01,9:48:24,20.89,51.7,0.307,33.9113
2023-05-01,9:58:23,20.97,51.71,0.307,37.3317
2023-05-01,9:58:24,20.97,51.71,0.307,37.3317
2023-05-01,10:08:23,21.04,51.65,0.306,44.2386
2023-05-01,10:08:24,21.04,51.65,0.306,44.2386
2023-05-01,10:18:23,21.11,51.38,0.306,44.1761
2023-05-01,10:18:24,21.11,51.38,0.306,44.1761
2023-05-01,10:28:23,21.17,51.35,0.306,46.8857
2023-05-01,10:28:24,21.17,51.35,0.306,46.8857
2023-05-01,10:38:23,21.21,51.48,0.307,61.3602
2023-05-01,10:38:24,21.21,51.48,0.307,61.3602
2023-05-01,10:48:23,21.22,51.24,0.306,78.4225
