,eventDate,qcFlagCode,value,timeSeriesId
73,2022-01-22T18:15:00Z,2,4.847,5cebf1de3d0f4a073c4bb95f
74,2022-01-22T18:30:00Z,2,4.765,5cebf1de3d0f4a073c4bb95f
75,2022-01-22T18:45:00Z,2,4.673,5cebf1de3d0f4a073c4bb95f
76,2022-01-22T19:00:00Z,2,4.571,5cebf1de3d0f4a073c4bb95f
77,2022-01-22T19:15:00Z,2,4.46,5cebf1de3d0f4a073c4bb95f
78,2022-01-22T19:30:00Z,2,4.342,5cebf1de3d0f4a073c4bb95f
79,2022-01-22T19:45:00Z,2,4.22,5cebf1de3d0f4a073c4bb95f
80,2022-01-22T20:00:00Z,2,4.093,5cebf1de3d0f4a073c4bb95f
81,2022-01-22T20:15:00Z,2,3.965,5cebf1de3d0f4a073c4bb95f
82,2022-01-22T20:30:00Z,2,3.837,5cebf1de3d0f4a073c4bb95f
83,2022-01-22T20:45:00Z,2,3.712,5cebf1de3d0f4a073c4bb95f
84,2022-01-22T21:00:00Z,2,3.591,5cebf1de3d0f4a073c4bb95f
85,2022-01-22T21:15:00Z,2,3.477,5cebf1de3d0f4a073c4bb95f
86,2022-01-22T21:30:00Z,2,3.371,5cebf1de3d0f4a073c4bb95f
87,2022-01-22T21:45:00Z,2,3.276,5cebf1de3d0f4a073c4bb95f
88,2022-01-22T22:00:00Z,2,3.192,5cebf1de3d0f4a073c4bb95f
89,2022-01-22T22:15:00Z,2,3.121,5cebf1de3d0f4a073c4bb95f
90,2022-01-22T22:30:00Z,2,3.064,5cebf1de3d0f4a073c4bb95f
91,2022-01-22T22:45:00Z,2,3.022,5cebf1de3d0f4a073c4bb95f
92,2022-01-22T23:00:00Z,2,2.993,5cebf1de3d0f4a073c4bb95f
93,2022-01-22T23:15:00Z,2,2.979,5cebf1de3d0f4a073c4bb95f
94,2022-01-22T23:30:00Z,2,2.979,5cebf1de3d0f4a073c4bb95f
95,2022-01-22T23:45:00Z,2,2.991,5cebf1de3d0f4a073c4bb95f
96,2022-01-23T00:00:00Z,2,3.016,5cebf1de3d0f4a073c4bb95f
97,2022-01-23T00:15:00Z,2,3.051,5cebf1de3d0f4a073c4bb95f
98,2022-01-23T00:30:00Z,2,3.096,5cebf1de3d0f4a073c4bb95f
99,2022-01-23T00:45:00Z,2,3.149,5cebf1de3d0f4a073c4bb95f
100,2022-01-23T01:00:00Z,2,3.209,5cebf1de3d0f4a073c4bb95f
101,2022-01-23T01:15:00Z,2,3.273,5cebf1de3d0f4a073c4bb95f
102,2022-01-23T01:30:00Z,2,3.341,5cebf1de3d0f4a073c4bb95f
103,2022-01-23T01:45:00Z,2,3.41,5cebf1de3d0f4a073c4bb95f
104,2022-01-23T02:00:00Z,2,3.479,5cebf1de3d0f4a073c4bb95f
105,2022-01-23T02:15:00Z,2,3.546,5cebf1de3d0f4a073c4bb95f
106,2022-01-23T02:30:00Z,2,3.61,5cebf1de3d0f4a073c4bb95f
107,2022-01-23T02:45:00Z,2,3.668,5cebf1de3d0f4a073c4bb95f
108,2022-01-23T03:00:00Z,2,3.72,5cebf1de3d0f4a073c4bb95f
109,2022-01-23T03:15:00Z,2,3.764,5cebf1de3d0f4a073c4bb95f
110,2022-01-23T03:30:00Z,2,3.797,5cebf1de3d0f4a073c4bb95f
111,2022-01-23T03:45:00Z,2,3.82,5cebf1de3d0f4a073c4bb95f
112,2022-01-23T04:00:00Z,2,3.83,5cebf1de3d0f4a073c4bb95f
113,2022-01-23T04:15:00Z,2,3.828,5cebf1de3d0f4a073c4bb95f
114,2022-01-23T04:30:00Z,2,3.812,5cebf1de3d0f4a073c4bb95f
115,2022-01-23T04:45:00Z,2,3.783,5cebf1de3d0f4a073c4bb95f
116,2022-01-23T05:00:00Z,2,3.74,5cebf1de3d0f4a073c4bb95f
117,2022-01-23T05:15:00Z,2,3.683,5cebf1de3d0f4a073c4bb95f
118,2022-01-23T05:30:00Z,2,3.615,5cebf1de3d0f4a073c4bb95f
119,2022-01-23T05:45:00Z,2,3.535,5cebf1de3d0f4a073c4bb95f
120,2022-01-23T06:00:00Z,2,3.445,5cebf1de3d0f4a073c4bb95f
121,2022-01-23T06:15:00Z,2,3.347,5cebf1de3d0f4a073c4bb95f
122,2022-01-23T06:30:00Z,2,3.24,5cebf1de3d0f4a073c4bb95f
123,2022-01-23T06:45:00Z,2,3.128,5cebf1de3d0f4a073c4bb95f
124,2022-01-23T07:00:00Z,2,3.011,5cebf1de3d0f4a073c4bb95f
125,2022-01-23T07:15:00Z,2,2.89,5cebf1de3d0f4a073c4bb95f
126,2022-01-23T07:30:00Z,2,2.768,5cebf1de3d0f4a073c4bb95f
127,2022-01-23T07:45:00Z,2,2.645,5cebf1de3d0f4a073c4bb95f
128,2022-01-23T08:00:00Z,2,2.524,5cebf1de3d0f4a073c4bb95f
129,2022-01-23T08:15:00Z,2,2.405,5cebf1de3d0f4a073c4bb95f
130,2022-01-23T08:30:00Z,2,2.292,5cebf1de3d0f4a073c4bb95f
131,2022-01-23T08:45:00Z,2,2.185,5cebf1de3d0f4a073c4bb95f
132,2022-01-23T09:00:00Z,2,2.086,5cebf1de3d0f4a073c4bb95f
133,2022-01-23T09:15:00Z,2,1.999,5cebf1de3d0f4a073c4bb95f
134,2022-01-23T09:30:00Z,2,1.924,5cebf1de3d0f4a073c4bb95f
135,2022-01-23T09:45:00Z,2,1.864,5cebf1de3d0f4a073c4bb95f
136,2022-01-23T10:00:00Z,2,1.82,5cebf1de3d0f4a073c4bb95f
137,2022-01-23T10:15:00Z,2,1.794,5cebf1de3d0f4a073c4bb95f
138,2022-01-23T10:30:00Z,2,1.786,5cebf1de3d0f4a073c4bb95f
139,2022-01-23T10:45:00Z,2,1.798,5cebf1de3d0f4a073c4bb95f
140,2022-01-23T11:00:00Z,2,1.83,5cebf1de3d0f4a073c4bb95f
141,2022-01-23T11:15:00Z,2,1.882,5cebf1de3d0f4a073c4bb95f
142,2022-01-23T11:30:00Z,2,1.953,5cebf1de3d0f4a073c4bb95f
143,2022-01-23T11:45:00Z,2,2.043,5cebf1de3d0f4a073c4bb95f
144,2022-01-23T12:00:00Z,2,2.151,5cebf1de3d0f4a073c4bb95f
145,2022-01-23T12:15:00Z,2,2.275,5cebf1de3d0f4a073c4bb95f
146,2022-01-23T12:30:00Z,2,2.413,5cebf1de3d0f4a073c4bb95f
147,2022-01-23T12:45:00Z,2,2.565,5cebf1de3d0f4a073c4bb95f
148,2022-01-23T13:00:00Z,2,2.727,5cebf1de3d0f4a073c4bb95f
149,2022-01-23T13:15:00Z,2,2.897,5cebf1de3d0f4a073c4bb95f
150,2022-01-23T13:30:00Z,2,3.074,5cebf1de3d0f4a073c4bb95f
151,2022-01-23T13:45:00Z,2,3.255,5cebf1de3d0f4a073c4bb95f
152,2022-01-23T14:00:00Z,2,3.438,5cebf1de3d0f4a073c4bb95f
153,2022-01-23T14:15:00Z,2,3.62,5cebf1de3d0f4a073c4bb95f
154,2022-01-23T14:30:00Z,2,3.799,5cebf1de3d0f4a073c4bb95f
155,2022-01-23T14:45:00Z,2,3.973,5cebf1de3d0f4a073c4bb95f
156,2022-01-23T15:00:00Z,2,4.14,5cebf1de3d0f4a073c4bb95f
157,2022-01-23T15:15:00Z,2,4.297,5cebf1de3d0f4a073c4bb95f
158,2022-01-23T15:30:00Z,2,4.443,5cebf1de3d0f4a073c4bb95f
159,2022-01-23T15:45:00Z,2,4.575,5cebf1de3d0f4a073c4bb95f
160,2022-01-23T16:00:00Z,2,4.692,5cebf1de3d0f4a073c4bb95f
161,2022-01-23T16:15:00Z,2,4.793,5cebf1de3d0f4a073c4bb95f
162,2022-01-23T16:30:00Z,2,4.876,5cebf1de3d0f4a073c4bb95f
163,2022-01-23T16:45:00Z,2,4.941,5cebf1de3d0f4a073c4bb95f
164,2022-01-23T17:00:00Z,2,4.986,5cebf1de3d0f4a073c4bb95f
165,2022-01-23T17:15:00Z,2,5.012,5cebf1de3d0f4a073c4bb95f
166,2022-01-23T17:30:00Z,2,5.019,5cebf1de3d0f4a073c4bb95f
167,2022-01-23T17:45:00Z,2,5.007,5cebf1de3d0f4a073c4bb95f
168,2022-01-23T18:00:00Z,2,4.977,5cebf1de3d0f4a073c4bb95f
169,2022-01-23T18:15:00Z,2,4.931,5cebf1de3d0f4a073c4bb95f
170,2022-01-23T18:30:00Z,2,4.868,5cebf1de3d0f4a073c4bb95f
171,2022-01-23T18:45:00Z,2,4.792,5cebf1de3d0f4a073c4bb95f
172,2022-01-23T19:00:00Z,2,4.703,5cebf1de3d0f4a073c4bb95f
173,2022-01-23T19:15:00Z,2,4.602,5cebf1de3d0f4a073c4bb95f
